freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;GDIVRT;PL,1.9 ,1.7 ,1.7 ,1.7 ,1.6 ,1.7 b,1.7 ,1.7 ,1.7 ,1.8 ,1.7 ,1.7 
A;GDIVRT;PT,2.3 ,2.4 ,2.5 ,2.5 ,2.6 ,2.5 ,2.4 ,2.2 ,2.1 ,2.3 ,2.2 ,2.1 
A;GDIVRT;RO,1.5 ,1.7 ,1.7 ,1.6 ,1.6 ,1.8 ,1.6 ,1.4 ,1.4 ,1.6 ,1.5 ,1.6 
A;GDIVRT;RS,1.1 ,1.2 ,1.2 ,1.2 ,0.9 ,1.1 b,1.0 ,1.1 ,1.1 ,1.3 ,1.3 ,1.3 
A;GDIVRT;RU,4.5 ,4.8 ,5.0 ,4.9 ,4.5 ,4.7 ,: ,: ,: ,: ,: ,: 
A;GDIVRT;SE,2.2 ,2.3 ,2.3 ,2.4 ,2.5 ,2.5 ,2.5 ,2.8 ,2.7 ,2.5 ,2.4 ,2.4 
A;GDIVRT;SI,1.2 ,1.3 ,1.1 ,1.1 ,1.2 ,1.1 ,1.2 ,1.1 ,1.2 ,1.2 ,1.2 ,1.2 
A;GDIVRT;SK,2.4 ,2.3 ,2.4 ,2.4 ,2.2 ,2.1 ,2.0 ,2.0 ,1.9 ,1.8 ,1.7 ,1.8 
A;GDIVRT;SM,2.8 ,2.1 ,2.2 ,: ,: ,2.5 ,1.5 ,: ,: ,: ,: ,: 
A;GDIVRT;TR,1.3 ,1.3 ,1.4 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.7 ,1.7 ,1.6 ,1.6 
A;GDIVRT;UA,3.8 ,3.8 ,5.3 ,3.2 ,2.8 ,1.4 ,1.1 ,: ,: ,3.0 ,3.1 ,3.0 
A;GDIVRT;UK,2.4 ,2.3 ,2.2 ,2.0 ,2.1 ,2.1 ,2.0 ,2.0 ,1.9 ,1.7 ,1.8 ,: 
A;GDIVRT;XK,0.7 ,0.7 ,0.5 ,0.7 ,: ,0.8 ,0.7 ,: ,: ,0.7 ,0.6 ,0.6 
A;GNUPRT;AD,3.7 ,3.1 ,3.1 ,3.1 ,: ,: ,3.7 ,: ,: ,: ,: ,: 
A;GNUPRT;AL,6.8 ,7.1 ,6.7 ,: ,: ,: ,: ,8.2 ,8.2 ,8.7 ,7.8 ,7.9 
A;GNUPRT;AM,5.2 ,5.6 ,5.7 ,5.8 ,5.2 ,6.0 ,: ,: ,: ,5.9 ,5.4 ,5.1 
A;GNUPRT;AT,4.5 ,4.3 ,4.2 ,4.3 ,4.5 ,4.3 ,4.6 ,4.3 ,4.4 ,5.1 ,5.1 ,5.1 
A;GNUPRT;AZ,9.4 ,9.5 ,9.1 ,8.7 ,8.7 ,9.6 ,8.5 ,9.2 ,8.9 ,7.1 ,6.8 ,6.4 
A;GNUPRT;BA,5.6 ,6.1 ,5.8 ,5.4 ,5.1 ,: ,4.8 ,: ,: ,: ,: ,: 
A;GNUPRT;BE,4.2 ,4.3 ,4.3 ,4.0 ,3.9 ,3.7 b,3.8 ,3.4 ,3.6 ,4.0 ,3.9 ,3.9 
A;GNUPRT;BG,4.3 ,3.9 ,3.7 ,3.5 ,3.3 ,2.9 ,2.9 ,3.0 ,3.4 ,3.9 ,3.8 ,4.0 
A;GNUPRT;BY,8.1 ,9.3 ,8.0 ,8.2 ,8.1 ,9.2 ,8.1 ,9.2 ,8.9 ,8.6 ,6.8 ,7.0 
A;GNUPRT;CH,5.3 ,5.3 ,5.4 ,5.4 ,5.5 ,5.3 b,5.3 ,4.9 ,5.1 ,5.0 ,5.0 ,4.8 
A;GNUPRT;CY,7.0 ,8.3 ,7.8 ,7.8 ,7.3 ,7.3 ,6.7 ,6.4 ,6.3 ,7.2 ,7.5 ,6.8 
A;GNUPRT;CZ,5.2 ,5.5 ,5.1 ,4.6 ,4.5 ,4.3 ,4.3 ,4.1 ,4.3 ,4.6 ,4.8 ,5.0 
A;GNUPRT;DE,4.5 ,4.5 ,4.6 ,4.6 ,4.7 ,4.6 ,4.8 ,4.6 ,4.8 ,4.9 ,5.0 ,4.9 
A;GNUPRT;DK,6.7 ,6.7 ,6.8 ,6.0 ,5.6 ,4.9 ,5.1 ,4.9 ,5.0 ,5.1 ,5.4 ,5.5 
A;GNUPRT;EA18,4.5 ,4.5 ,4.4 ,4.2 ,4.1 ,4.0 ,4.0 ,3.9 ,3.9 ,4.0 ,4.1 ,4.0 
A;GNUPRT;EA19,4.5 ,4.5 ,4.4 ,4.2 ,4.2 ,4.0 ,4.1 ,3.9 ,3.9 ,4.0 ,4.1 ,4.0 
A;GNUPRT;EE,5.2 ,5.2 ,4.6 ,4.0 ,3.8 ,4.1 ,4.5 ,4.3 ,4.7 ,5.2 ,4.8 ,4.9 
A;GNUPRT;EL,5.2 ,5.5 ,4.8 ,5.3 ,5.1 ,5.0 ,4.5 ,4.7 ,4.9 ,5.0 ,4.6 ,4.7 
A;GNUPRT;ES,4.5 ,4.4 ,4.2 ,3.7 ,3.6 ,3.4 ,3.5 ,3.3 ,3.4 ,3.6 ,3.7 ,3.7 
A;GNUPRT;EU27,: ,4.9 ,4.7 ,4.5 ,4.4 ,4.2 ,: ,4.1 ,4.2 ,4.3 ,4.4 ,: 
A;GNUPRT;EU28,: ,4.9 ,4.8 ,4.5 ,4.4 ,4.2 ,: ,4.1 ,4.2 ,4.3 ,4.4 ,: 
A;GNUPRT;FI,5.4 ,5.6 ,5.8 ,5.6 ,5.6 ,5.3 ,5.3 ,4.6 ,4.5 ,4.5 ,4.5 ,4.8 
A;GNUPRT;FR,4.3 ,4.3 ,4.1 ,3.9 ,3.9 ,3.6 ,3.7 ,3.6 ,3.6 ,3.6 ,3.5 ,3.5 
A;GNUPRT;FX,4.3 ,4.3 ,4.2 ,3.9 ,3.9 ,3.7 ,3.7 ,: ,: ,: ,: ,: 
A;GNUPRT;GE,5.0 ,5.7 ,7.2 ,7.2 ,7.8 ,6.9 ,: ,: ,7.7 ,7.8 ,6.7 ,6.4 
A;GNUPRT;HR,5.1 ,5.4 ,5.4 ,5.2 ,5.0 ,4.7 ,4.8 ,4.5 ,4.6 ,4.7 ,4.9 ,4.9 
A;GNUPRT;HU,4.4 ,4.1 ,4.0 ,3.7 ,3.6 ,3.6 ,3.6 b,3.7 ,3.9 ,4.7 ,5.3 ,5.2 
A;GNUPRT;IE,5.2 ,5.2 ,4.9 ,4.8 ,4.5 ,4.3 ,4.5 ,4.5 ,4.7 ,4.7 ,4.8 ,4.6 
A;GNUPRT;IS,5.5 ,5.5 ,5.2 ,4.6 ,4.9 ,4.6 ,: ,: ,: ,: ,: ,: 
A;GNUPRT;IT,4.2 ,4.3 ,4.2 ,3.9 ,3.7 ,3.4 ,3.5 ,3.2 ,3.1 ,3.2 ,3.4 ,3.2 
A;GNUPRT;LI,4.3 ,5.2 ,5.8 ,4.3 ,5.0 ,4.5 ,5.0 ,: ,: ,: ,: ,: 
A;GNUPRT;LT,6.5 ,7.1 ,7.5 ,6.5 ,6.0 ,6.3 ,6.9 ,6.9 ,7.6 ,7.6 ,7.4 ,7.5 
A;GNUPRT;LU,4.1 ,4.1 ,3.9 ,3.5 ,3.5 ,3.3 ,3.4 b,3.2 ,3.0 ,3.6 ,3.2 ,3.2 
A;GNUPRT;LV,6.6 ,7.0 ,5.9 ,4.6 ,4.4 ,5.2 ,5.5 ,5.7 ,6.3 ,6.9 ,6.6 ,6.8 
A;GNUPRT;MD,7.6 ,8.2 ,7.5 ,7.5 ,7.4 ,7.3 ,6.8 ,6.9 ,7.2 ,: ,: ,: 
A;GNUPRT;ME,5.6 ,6.5 ,5.6 ,6.1 ,5.9 ,: ,5.3 ,6.2 ,5.7 ,6.2 ,5.1 ,5.3 
A;GNUPRT;MK,7.3 ,7.6 ,7.2 ,7.3 ,6.9 ,7.2 ,6.8 ,6.8 ,6.7 ,6.8 ,6.4 ,6.6 
A;GNUPRT;MT,6.3 ,6.1 ,6.1 ,5.7 ,6.3 ,6.2 ,6.7 ,6.1 ,6.6 ,6.7 ,6.7 ,6.3 
A;GNUPRT;NL,4.4 ,4.3 ,4.5 ,4.4 ,4.5 ,4.3 ,4.2 ,3.8 ,3.9 ,3.8 ,3.8 ,3.8 
A;GNUPRT;NO,4.7 ,5.0 ,5.3 ,5.0 ,4.8 ,4.6 ,4.8 ,4.7 ,4.6 ,4.5 ,4.5 ,4.4 
A;GNUPRT;PL,5.9 ,6.5 ,6.8 ,6.6 b,6.0 ,5.4 ,5.4 ,4.7 ,5.0 ,5.0 ,5.1 ,5.1 
A;GNUPRT;PT,4.5 ,4.4 ,4.1 ,3.8 ,3.8 ,3.4 ,3.3 ,3.1 ,3.0 ,3.1 ,3.1 ,3.3 
A;GNUPRT;RO,6.9 ,9.1 ,7.3 ,6.6 ,5.7 ,5.2 ,5.4 ,5.4 ,5.9 ,6.3 ,6.8 ,7.3 
A;GNUPRT;RS,5.4 ,5.6 ,5.2 ,5.0 ,4.9 ,4.9 ,4.8 ,5.1 ,5.1 ,5.2 ,5.1 ,5.1 
A;GNUPRT;RU,7.8 ,8.9 ,8.3 ,8.5 ,8.5 ,9.2 ,: ,: ,: ,: ,: ,: 
A;GNUPRT;SE,5.0 ,: ,5.5 ,5.1 ,5.3 ,5.0 ,5.3 ,5.4 ,5.5 ,5.3 ,5.4 ,5.2 
A;GNUPRT;SI,3.2 ,3.2 ,3.3 ,3.2 ,3.2 ,3.2 ,3.4 ,3.0 ,3.2 ,3.1 ,3.2 ,3.1 
A;GNUPRT;SK,4.8 ,5.1 ,5.3 ,4.9 ,4.7 ,4.7 ,4.8 ,4.7 ,4.9 ,5.3 ,5.5 ,5.8 
A;GNUPRT;SM,: ,6.9 ,6.4 ,: ,: ,6.3 ,6.1 ,: ,: ,: ,: ,: 
A;GNUPRT;TR,9.2 ,9.1 ,9.0 ,8.2 ,8.0 ,8.0 ,8.0 ,7.9 ,7.8 ,7.7 ,7.5 ,7.1 
A;GNUPRT;UA,7.6 ,9.0 ,7.0 ,6.9 ,6.7 ,7.8 ,6.1 ,6.7 ,: ,7.0 ,5.4 ,5.9 
A;GNUPRT;UK,: ,4.5 ,4.4 ,4.3 ,4.5 ,4.5 ,: ,4.3 ,4.5 ,4.4 ,4.4 ,: 
A;GNUPRT;XK,7.5 ,7.9 ,8.3 ,8.9 ,: ,9.3 ,9.5 ,: ,: ,9.1 ,9.0 ,9.6 
