freq,indic_de,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A,GDIVRT,MK	0.6 	0.6 	0.8 	0.9 	0.9 	1.0 	1.1 	1.0 	1.0 	1.0 
A,GDIVRT,MT	: 	: 	: 	0.1 	1.1 	0.8 	0.7 	0.8 	0.8 	0.7 
A,GDIVRT,NL	2.0 	1.9 	2.0 	2.0 	2.1 	2.0 	2.1 	2.0 	2.0 	1.9 
A,GDIVRT,NO	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	1.9 	1.9 	1.9 	2.0 
A,GDIVRT,PL	1.7 	1.7 	1.6 	1.7 b	1.7 	1.7 	1.7 	1.8 	1.7 	1.7 
A,GDIVRT,PT	2.5 	2.5 	2.6 	2.5 	2.4 	2.2 	2.1 	2.3 	2.2 	2.1 
A,GDIVRT,RO	1.7 	1.6 	1.6 	1.8 	1.6 	1.4 	1.4 	1.6 	1.5 	1.6 
A,GDIVRT,RS	1.2 	1.2 	0.9 	1.1 b	1.0 	1.1 	1.1 	1.3 	1.3 	1.3 
A,GDIVRT,RU	5.0 	4.9 	4.5 	4.7 	: 	: 	: 	: 	: 	: 
A,GDIVRT,SE	2.3 	2.4 	2.5 	2.5 	2.5 	2.8 	2.7 	2.5 	2.4 	2.4 
A,GDIVRT,SI	1.1 	1.1 	1.2 	1.1 	1.2 	1.1 	1.2 	1.2 	1.2 	1.2 
A,GDIVRT,SK	2.4 	2.4 	2.2 	2.1 	2.0 	2.0 	1.9 	1.8 	1.7 	1.8 
A,GDIVRT,SM	2.2 	: 	: 	2.5 	1.5 	: 	: 	: 	: 	: 
A,GDIVRT,TR	1.4 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 	1.6 	1.6 
A,GDIVRT,UA	5.3 	3.2 	2.8 	1.4 	1.1 	: 	: 	3.0 	3.1 	3.0 
A,GDIVRT,UK	2.2 	2.0 	2.1 	2.1 	2.0 	2.0 	1.9 	1.7 	1.8 	: 
A,GDIVRT,XK	0.5 	0.7 	: 	0.8 	0.7 	: 	: 	0.7 	0.6 	0.6 
